""" bloody battle","[['moby-dick-002-chapter-1-loomings', ['""BLOODY BATTLE IN AFFGHANISTAN.""Though I cannot tell why it was exactly that those stage managers, the Fates, put me down for this shabby part of a whaling voyage, when others were set down for magni\\xef\\xac\\x81cent parts in high tragedies, and short and easy parts in genteel comedies, and jolly parts in farces- though I cannot tell why this was exactly; yet, now that I recall all the circumstances, I think I can see a little into the springs and motives which being cunningly presented to me under various disguises, induced me to set about performing the part I did, besides cajoling me into the delusion that it was a choice resulting from my own unbiased freewill and discriminating judgment.']]]",1,0.5
I,"[['moby-dick-002-chapter-1-loomings', ['Moby DickBy Herman MelvilleChapter 1: LoomingsCall me Ishmael.', 'Some years ago- never mind how long precisely- having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world.', 'It is a way I have of driving off the spleen and regulating the circulation.', ""Whenever I \\xef\\xac\\x81nd myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I \\xef\\xac\\x81nd myself involuntarily pausing before cof\\xef\\xac\\x81n warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off- then, I account it high time to get to sea as soon as I can."", 'With a philosophical \\xef\\xac\\x82ourish Cato throws himself upon his sword; I quietly take to the ship.', 'If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards the ocean with me.', 'Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?Once more.', 'Now, when I say that I am in the habit of going to sea whenever I begin to grow hazy about the eyes, and begin to be over conscious of my lungs, I do not mean to have it inferred that I ever go to sea as a passenger.', 'no, I never go as a passenger; nor, though I am something of a salt, do I ever go to sea as a Commodore, or 3Created for Lit2Go on the web at etc.usf.eduMoby', 'I abandon the glory and distinction of such of\\xef\\xac\\x81ces to those who like them.', 'For my part, I abominate all honorable respectable toils, trials, and tribulations of every kind whatsoever.', 'It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and what not.', 'And as for going as cook,- though I confess there is considerable glory in that, a cook being a sort of of\\xef\\xac\\x81cer on ship-board- yet, somehow, I never fancied broiling fowls;- though once broiled, judiciously buttered, and judgmatically salted and peppered, there is no one who will speak more respectfully, not to say reverentially, of a broiled fowl than I will.', 'No, when I go to sea, I go as a simple sailor, right before the mast, plumb down into the fore-castle, aloft there to the royal mast-head.', 'True, they rather order me about some, and make me jump from spar to spar, like a grasshopper in a May meadow.', 'The transition is a keen one, I assure you, from a schoolmaster to a sailor, and requires a strong decoction of Seneca and the Stoics to enable you to grin and bear it.', 'What of it, if some old hunks of a sea-captain orders me to get a broom and sweep down the decks?', 'What does that indignity amount to, weighed, I mean, in the scales of the New Testament?', 'Do you think the archangel Gabriel thinks anything the less of me, because I promptly and respectfully obey that old hunks in that particular instance?', 'Tell me that.', 'Well, then, however the old sea-captains may order me about-', 'however they may thump and punch me about, I have the 4Created for Lit2Go on the web at etc.usf.eduMoby', 'Again, I always go to sea as a sailor, because they make a point of paying me for my trouble, whereas they never pay passengers a single penny that I ever heard of.', 'how cheerfully we consign ourselves to perdition!Finally, I always go to sea as a sailor, because of the wholesome exercise and pure air of the fore-castle deck.', 'But wherefore it was that after having repeatedly smelt the sea as a merchant sailor, I should now take it into my head to go on a whaling voyage; this the invisible police of\\xef\\xac\\x81cer of the Fates, who has the constant surveillance of me, and secretly dogs me, and in\\xef\\xac\\x82uences me in some unaccountable way- he can better answer than any one else.', 'I take it that this part of the bill must have run something like this:""Grand', '""BLOODY BATTLE IN AFFGHANISTAN.""Though I cannot tell why it was exactly that those stage managers, the Fates, put me down for this shabby part of a whaling voyage, when others were set down for magni\\xef\\xac\\x81cent parts in high tragedies, and short and easy parts in genteel comedies, and jolly parts in farces- though I cannot tell why this was exactly; yet, now that I recall all the circumstances, I think I can see a little into the springs and motives which being cunningly presented to me under various disguises, induced me to set about performing the part I did, besides cajoling me into the delusion that it was a choice resulting from my own unbiased freewill and discriminating judgment.', 'Then the wild and distant seas where he rolled his island bulk; the undeliverable, nameless perils of the whale; these, with all the attending marvels of a thousand Patagonian sights and sounds, helped to sway me to my wish.', 'With other men, perhaps, such things would not have been inducements; but as for me, I am tormented with an everlasting itch for things remote.', 'I love to sail forbidden seas, and land on barbarous coasts.', 'Not ignoring what is good, I am quick to perceive a horror, and could still be social with it-', 'By reason of these things, then, the whaling voyage was welcome; the great \\xef\\xac\\x82ood-gates of the wonder-world swung open, and in the wild conceits that swayed me to my purpose, two and two there \\xef\\xac\\x82oated into 6Created for Lit2Go on the web at etc.usf.eduMoby']]]",67,33.5
\xef\xac\x81rst,"[['moby-dick-002-chapter-1-loomings', ['Why upon your \\xef\\xac\\x81rst voyage as a passenger, did you yourself feel such a mystical vibration, when \\xef\\xac\\x81rst told that you and your ship were now out of sight of land?', 'And at \\xef\\xac\\x81rst, this sort of thing is unpleasant enough.', 'He thinks he breathes it \\xef\\xac\\x81rst; but not so.']]]",3,1.5
a broil fowl,"[['moby-dick-002-chapter-1-loomings', ['And as for going as cook,- though I confess there is considerable glory in that, a cook being a sort of of\\xef\\xac\\x81cer on ship-board- yet, somehow, I never fancied broiling fowls;- though once broiled, judiciously buttered, and judgmatically salted and peppered, there is no one who will speak more respectfully, not to say reverentially, of a broiled fowl than I will.']]]",1,0.5,cat2
a broom,"[['moby-dick-002-chapter-1-loomings', ['What of it, if some old hunks of a sea-captain orders me to get a broom and sweep down the decks?']]]",1,0.5,cat2
a cataract,"[['moby-dick-002-chapter-1-loomings', ['Were Niagara but a cataract of sand, would you travel your thousand miles to see it?']]]",1,0.5,cat2
a choice,"[['moby-dick-002-chapter-1-loomings', ['""BLOODY BATTLE IN AFFGHANISTAN.""Though I cannot tell why it was exactly that those stage managers, the Fates, put me down for this shabby part of a whaling voyage, when others were set down for magni\\xef\\xac\\x81cent parts in high tragedies, and short and easy parts in genteel comedies, and jolly parts in farces- though I cannot tell why this was exactly; yet, now that I recall all the circumstances, I think I can see a little into the springs and motives which being cunningly presented to me under various disguises, induced me to set about performing the part I did, besides cajoling me into the delusion that it was a choice resulting from my own unbiased freewill and discriminating judgment.']]]",1,0.5
a coat,"[['moby-dick-002-chapter-1-loomings', ['Why did the poor poet of Tennessee, upon suddenly receiving two handfuls of silver, deliberate whether to buy him a coat, which he sadly needed, or invest his money in a pedestrian trip to Rockaway Beach?']]]",1,0.5
a commodore,"[['moby-dick-002-chapter-1-loomings', ['no, I never go as a passenger; nor, though I am something of a salt, do I ever go to sea as a Commodore, or 3Created for Lit2Go on the web at etc.usf.eduMoby']]]",1,0.5
a comprehensive list,"[['Game types and genres', ['This is not a comprehensive list.']]]",1,0.5
